000018E0,00001D7A,3,4,0,
00000CBA,000022A2,2,7,0,
0000148C,000021DE,3,7,0,
00000450,000011D4,1,3,0,
00000FF6,00002BD6,2,34,0,
000025C8,00002A22,10,21,0,
0000134E,000020DC,3,6,0,
000002E6,00002380,1,8,0,
00001C74,00002E08,4,85,0,
000001BC,00001242,1,3,0,
00001DC8,00002C8E,4,44,0,
000015BE,00002882,3,16,0,
00000D58,00001E36,2,5,0,
000008F4,00002572,1,10,0,
000000BC,00001B0E,1,4,0,
000013B6,00001C98,3,4,0,
0000065E,00002104,1,6,0,
000001EE,00002D3A,1,57,0,
00000640,0000169C,1,3,0,
00000912,00000C78,1,2,0,
00000F70,00002C70,2,42,0,
00001088,00002E62,2,113,0,
00000894,00002498,1,9,0,
00001BA0,00001F8E,4,5,0,
000018FA,00001AD6,3,4,0,
000027F2,00002C58,14,41,0,
000013F0,00002A22,3,21,0,
000014AE,00001BCE,3,4,0,
0000004E,00000F34,1,2,0,
00002C70,00002F1E,42,371,3,
00001684,00002778,3,13,0,
0000037A,000029C4,1,20,0,
000012EA,00001C36,3,4,0,
00001F42,000026FE,5,12,0,
0000018A,00000D3A,1,2,0,
00001E6E,00002B0C,5,27,0,
00001B66,00001E30,4,5,0,
00001646,000022C0,3,7,0,
0000083E,000024C8,1,9,0,
00000984,0000191C,1,4,0,
0000125E,00001E32,3,5,0,
0000197C,00002E74,4,120,0,
00000C9C,00002E5C,2,111,0,
000016B6,00002D4E,3,59,0,
00000EE4,0000136A,2,3,0,
000027DC,00002B1C,14,28,0,
000018E0,00001F8E,3,5,0,
00001462,00002CCA,3,48,0,
000013A4,00002C0A,3,37,0,
000016FE,000028A0,3,16,0,
000000E6,000014D0,1,3,0,
0000172E,00002E6A,3,116,0,
00000196,000023FC,1,8,0,
00001AB2,00001F6C,4,5,0,
00001BD0,00002D80,4,64,0,
000015B6,00002068,3,6,0,
00001FA6,00002768,5,13,0,
00002D3E,00002F34,57,1808,6,
00000FEE,00001ECC,2,5,0,
00002B56,00002DB0,30,69,0,
00001D38,0000235A,4,8,0,
000013B2,000022D0,3,7,0,
00001146,000013C0,2,3,0,
000005B8,00002AC0,1,25,0,
000018BC,0000232E,3,8,0,
00001620,00001A52,3,4,0,
