00001D02,0000246E,4,9,0000005A,00000C5A,1,2,0,
00000190,000022CC,1,7,00001402,00001B08,3,4,0,
00001760,000020C4,3,6,000008D8,0000283A,1,15,0,
000024C6,00002660,9,11,00000626,00001226,1,3,0,
000025BC,00002C3E,10,39,00000E18,00001E90,2,5,0,
0,
000027C8,0000295A,14,18,00001FCE,0000277C,5,13,0,
0,
00001CD4,00001E9E,4,5,00000B6E,00002304,1,7,0,
000007D0,00001E64,1,5,00001FB2,00002EFE,5,244,0,
000021D0,0000288A,7,16,000018FA,00002804,3,14,0,
0000042E,00001754,1,3,0000145C,00001F22,3,5,0,
000007B6,00002324,1,8,00001BAE,000024B4,4,9,0,
00000D36,00002DBE,2,72,0,
0000042A,00001E56,1,5,0,
000004D6,00002EE2,1,195,00001E4A,00002198,5,6,0,
00000EA0,00001AE4,2,4,0000034E,000022F4,1,7,0,
0000090C,00002B86,1,32,0,
00000CC4,00002454,2,8,0,
00000466,000021BC,1,7,00000278,000015AA,1,3,0,
00000C1E,00001760,1,3,00000462,00001082,1,2,0,
00000AD2,0000228C,1,7,00000844,00002648,1,11,0,
00001050,00001FD6,2,5,00000936,000023AC,1,8,0,
00000F4A,00001DE6,2,4,00000994,000020BC,1,6,0,
0000147A,00001DEA,3,4,0000061C,00002D96,1,66,0,
0000026E,000027EA,1,14,000000A6,00002DE8,1,79,0,
00001BE8,00001FFC,4,6,00001284,00001C04,3,4,0,
000017B6,0000204E,3,6,00002168,000025A6,6,10,0,
00001F06,00002F16,5,316,0000002C,0000226C,1,7,0,
00000872,000029D8,1,20,0000042C,000012BA,1,3,0,
00000730,00002182,1,6,0,
0000167A,0000275A,3,13,00000530,00001300,1,3,0,
00000C9E,0000191E,2,4,00002C00,00002DC2,36,73,9,
00001B8C,00002CA8,4,45,00000C52,00002C74,2,42,0,
0000127C,0000195A,3,4,000003AC,00001810,1,3,0,
00000A44,0000236C,1,8,00001C86,00002954,4,18,0,
00000FBE,00001660,2,3,0,
00001BB2,00002466,4,9,000016B2,00001A8E,3,4,0,
0000212C,000022E2,6,7,00000362,000026E4,1,12,0,
00000AB0,00001950,1,4,000001CC,00001F28,1,5,0,
00001D08,00002DCC,4,75,0000095E,00001DB4,1,4,0,
0000142C,00002B3E,3,29,00000E9C,000015B0,2,3,0,
00001FE2,00002DC2,5,73,0,
00000168,00001DC8,1,4,0,
00000A60,0000285C,1,15,000004F2,00001D8E,1,4,0,
00001F80,00002612,5,11,000012FA,00002D7A,3,63,0,
00000AB0,00001E64,1,5,00000F96,00002400,2,8,0,
00000A9C,0000224E,1,7,0,
